Partlist

Exported from Main Schematic.sch at 5/1/15 15:12

EAGLE Version 7.2.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part                Value                                Device                     Package                     Library                        Sheet
C80                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C81                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C82                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C83                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C84                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C85                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C86                 1.0uF                                C-USC0402                  C0402                       resistor                       1
C87                 0.01uF                               C-USC0402                  C0402                       resistor                       1
C88                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C89                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C90                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C91                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C92                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C93                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C94                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C95                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C96                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C97                 0.001uF                              C-USC0402                  C0402                       resistor                       1
C98                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C99                 0.1uF                                C-USC0402                  C0402                       resistor                       1
C100                0.1uF                                C-USC0402                  C0402                       resistor                       1
C101                0.1uF                                C-USC0402                  C0402                       resistor                       1
C102                0.1uF                                C-USC0402                  C0402                       resistor                       1
C103                0.001uF                              C-USC0402                  C0402                       resistor                       1
C104                0.1uF                                C-USC0402                  C0402                       resistor                       1
C105                0.1uF                                C-USC0402                  C0402                       resistor                       1
C106                0.1uF                                C-USC0402                  C0402                       resistor                       1
C107                0.1uF                                C-USC0402                  C0402                       resistor                       1
C108                0.1uF                                C-USC0402                  C0402                       resistor                       1
C109                0.1uF                                C-USC0402                  C0402                       resistor                       1
C110                0.1uF                                C-USC0402                  C0402                       resistor                       1
C111                0.1uF                                C-USC0402                  C0402                       resistor                       1
C112                0.1uF                                C-USC0402                  C0402                       resistor                       1
C113                0.001uF                              C-USC0402                  C0402                       resistor                       1
C114                0.001uF                              C-USC0402                  C0402                       resistor                       1
C115                0.001uF                              C-USC0402                  C0402                       resistor                       1
C116                0.001uF                              C-USC0402                  C0402                       resistor                       1
C117                0.1uF                                C-USC0402                  C0402                       resistor                       1
C118                0.1uF                                C-USC0402                  C0402                       resistor                       1
C119                0.1uF                                C-USC0402                  C0402                       resistor                       1
C120                0.1uF                                C-USC0402                  C0402                       resistor                       1
C121                0.1uF                                C-USC0402                  C0402                       resistor                       1
C122                0.1uF                                C-USC0402                  C0402                       resistor                       1
